"","species","Common.name","Family","Bioturbation.mode","n","B","A","BPi","BPp"
"1","Agonus cataphractus","Hooknose","Agonidae","Burrower",72,10.4322634782931,7.08058456862692,76.368423123949,1817.76239572646
"2","Ammodytes marinus","Launce","Ammodytidae","Burrower",8,2.51944970939813,3.91538461538462,28.0049366056601,201.076480851974
"3","Ammodytes tobianus","Lesser sandeel","Ammodytidae","Burrower",27,2.7876071741527,5.14700460829493,26.4081422177396,212.163056246091
"4","Anguilla anguilla","European eel","Anguillidae","Burrower",2,303.547195053006,2,435.519107882586,871.038215765171
"5","Argentina sphyraena","Lesser silver smelt","Argentinidae","Vertical excavator",4,23.1468982355284,2,60.1004018908068,120.200803781614
"6","Arnoglossus imperialis","Imperial scaldfish","Bothidae","Sediment sifter",2,24.7980872248532,9.2,22.4435260921296,400.337027551568
"7","Arnoglossus laterna","Scaldfish","Bothidae","Sediment sifter",66,11.73625418701,12.9973814844067,16.2716471192653,1023.46214005034
"8","Artediellus atlanticus","Atlantic hookear sculpin","Cottidae","Vertical excavator",1,17.8217868806329,2,84.4317165066136,168.863433013227
"9","Balistes capriscus","Grey triggerfish","Balistidae","Nest-builder",3,656.924044160028,2,229.091947692197,458.183895384394
"10","Blennius ocellaris","Butterfly blenny","Blenniidae","Sediment sifter",25,11.7794338576091,3.42039624668185,13.3115889477636,97.8256044668885
"11","Buglossidium luteum","Solenette","Soleidae","Lateral excavator",67,9.35579599873482,27.8073250695649,28.7480622218605,3918.86043132961
"12","Callionymus lyra","Dragonet","Callionymidae","Vertical excavator",74,30.5213849994103,9.44837341118725,104.426754773054,7835.28350234946
"13","Callionymus maculatus","Spotted dragonet","Callionymidae","Vertical excavator",38,5.71214850845301,4.30244363064652,46.0703146129486,425.895567666621
"14","Callionymus reticulatus","Reticulated dragonet","Callionymidae","Sediment sifter",43,3.02952542712277,3.43084677438194,8.39231202148077,53.1895189424623
"15","Capros aper","Boarfish","Caproidae","Vertical excavator",1,31.6602806467733,2,67.5209627681312,135.041925536262
"16","Centrolabrus exoletus","Rock cook","Labridae","Nest-builder",4,8.17213050679585,2.19489795918367,15.3343504237931,53.4194735317403
"17","Cepola macrophthalma","Red bandfish","Cepolidae","Burrower",4,51.1442631216953,2,169.56155219139,626.073423475901
"18","Chelidonichthys cuculus","Red gurnard","Triglidae","Sediment sifter",43,118.20087647831,4.09319687801106,41.5040207347301,805.81836986456
"19","Chelidonichthys lastoviza","Streaked gurnard","Triglidae","Sediment sifter",8,161.061865507264,2.78260869565217,35.8635157024706,114.669701257414
"20","Chelidonichthys lucerna","Tub gurnard","Triglidae","Sediment sifter",71,169.667059260051,3.04365547295265,60.4742270610828,551.954471227139
"21","Chirolophis ascanii","Yarrell's blenny","Stichaeidae","Vertical excavator",3,12.0828892117707,2,56.6439498529107,113.287899705821
"22","Ciliata mustela","Five-bearded rockling","Gaidropsaridae","Sediment sifter",19,8.11052220979207,3.10069286212509,8.72080047516164,31.5462179537552
"23","Ciliata septentrionalis","Northern rockling","Gaidropsaridae","Vertical excavator",9,3.91682346321907,2.41176470588235,29.2502661761827,104.233664127216
"24","Ctenolabrus rupestris","Goldsinny wrasse","Labridae","Sediment sifter",20,20.8559463928585,2.79878774579235,17.5799534562117,94.3806793669839
"25","Cyclopterus lumpus","Lumpfish","Cyclopteridae","Vertical excavator",28,8.67595742505997,2.52461799660441,32.8103455960783,91.3855492143847
"26","Dicentrarchus labrax","European seabass","Moronidae","Vertical excavator",5,669.052754191282,2.76923076923077,304.446643249245,805.55840618698
"27","Diplecogaster bimaculata","Two-spotted clingfish","Gobiesocidae","Sediment sifter",14,0.189297098404145,7.46666666666667,1.63523673171223,16.3335192309121
"28","Echiichthys vipera","Lesser weever","Trachinidae","Lateral excavator",39,16.9879575640013,13.951886478323,39.7987239681846,2176.27151840516
"29","Enchelyopus cimbrius","Four-bearded rockling","Gaidropsaridae","Vertical excavator",15,16.1141371390772,2.40816326530612,69.9435738012699,230.105055473899
"30","Entelurus aequoreus","Snake pipefish","Syngnathidae","Sediment sifter",2,22.3199518165825,3.02040816326531,13.6820505750552,116.660950072113
"31","Eutrigla gurnardus","Grey gurnard","Triglidae","Sediment sifter",73,38.3835035843777,6.31795028107202,21.9100526626607,729.948426922125
"32","Gadus morhua","Atlantic cod","Gadidae","Vertical excavator",69,214.327100428514,3.31549836119887,201.656244969341,1600.69688710608
"33","Gaidropsarus mediterraneus","Shore rockling","Gaidropsaridae","Vertical excavator",1,1.0395416782731,2,16.3132666758658,32.6265333517316
"34","Gaidropsarus vulgaris","Three-bearded rockling","Gaidropsaridae","Sediment sifter",16,112.729347960393,2.2476485070387,36.9659131933278,101.44149010587
"35","Galeorhinus galeus","Tope shark","Triakidae","Vertical excavator",5,524.168227166632,2,274.39379539776,548.78759079552
"36","Gasterosteus aculeatus","Three-spined stickleback","Gasterosteidae","Nest-builder",3,0.942780003605087,3.33333333333333,5.7428040131527,20.9904724288134
"37","Glyptocephalus cynoglossus","Witch","Pleuronectidae","Lateral excavator",25,104.211271311701,6.0174243042142,75.9623670661953,2559.07373910962
"38","Gobius niger","Black goby","Gobiidae","Vertical excavator",5,10.4126747963587,2.43228704525288,49.3476097062278,179.874805933025
