"","ID","Year","StNo","HaulNo","species","Family","bioturbation.mode","Depth","Date","DayInYear","TimeIn","Site","StatRec","BPp","total_abun_cpue","total_biomass_cpue","Group","substrate_class","substrate_name","lat","lon"
"1","1988_-9_246",1988,"-9",246,"Glyptocephalus cynoglossus","Pleuronectidae","Lateral excavator",66,"8/10/1988",282,600,"37E4_-9","37E4",346.264744299159,4,468.356535720945,"Flatfish",11,"Mud",54.2317,-5.3183
"2","1988_-9_246",1988,"-9",246,"Lophius piscatorius","Lophiidae","Lateral excavator",66,"8/10/1988",282,600,"37E4_-9","37E4",643.960568908149,8,522.14388906275,"Other",11,"Mud",54.2317,-5.3183
"3","1988_-9_258",1988,"-9",258,"Buglossidium luteum","Soleidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",371.795545791724,12,116.968678194346,"Flatfish",2,"Sand",54.0133,-5.7483
"4","1988_-9_258",1988,"-9",258,"Callionymus lyra","Callionymidae","Vertical excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",1637.84299910123,16,419.67242887672,"Small benthic",2,"Sand",54.0133,-5.7483
"5","1988_-9_258",1988,"-9",258,"Callionymus maculatus","Callionymidae","Vertical excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",396.744414759558,8,49.4000135920134,"Small benthic",2,"Sand",54.0133,-5.7483
"6","1988_-9_258",1988,"-9",258,"Eutrigla gurnardus","Triglidae","Sediment sifter",45,"8/10/1988",282,1752,"36E4_-9","36E4",263.402910165714,12,375.273674394792,"Other",2,"Sand",54.0133,-5.7483
"7","1988_-9_258",1988,"-9",258,"Glyptocephalus cynoglossus","Pleuronectidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",3627.62586777957,32,6503.05892012396,"Flatfish",2,"Sand",54.0133,-5.7483
"8","1988_-9_258",1988,"-9",258,"Hippoglossoides platessoides","Pleuronectidae","Sediment sifter",45,"8/10/1988",282,1752,"36E4_-9","36E4",183.795611131391,8,176.827724847336,"Flatfish",2,"Sand",54.0133,-5.7483
"9","1988_-9_258",1988,"-9",258,"Limanda limanda","Pleuronectidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",1648.71092497242,32,871.239961322596,"Flatfish",2,"Sand",54.0133,-5.7483
"10","1988_-9_258",1988,"-9",258,"Lophius piscatorius","Lophiidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",1804.43026715206,8,4115.02791145203,"Other",2,"Sand",54.0133,-5.7483
"11","1988_-9_258",1988,"-9",258,"Merlangius merlangus","Gadidae","Vertical excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",2505.70104270953,68,685.19134072788,"Gadoids",2,"Sand",54.0133,-5.7483
"12","1988_-9_258",1988,"-9",258,"Microchirus variegatus","Soleidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",585.553450316352,12,291.119814375169,"Flatfish",2,"Sand",54.0133,-5.7483
"13","1988_-9_258",1988,"-9",258,"Pleuronectes platessa","Pleuronectidae","Lateral excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",4653.12401027295,40,5766.18383247875,"Flatfish",2,"Sand",54.0133,-5.7483
"14","1988_-9_258",1988,"-9",258,"Trisopterus minutus","Gadidae","Vertical excavator",45,"8/10/1988",282,1752,"36E4_-9","36E4",4299.68986137638,88,876.955389614334,"Gadoids",2,"Sand",54.0133,-5.7483
"15","1988_10_144",1988,"10",144,"Agonus cataphractus","Agonidae","Burrower",18,"2/10/1988",276,1208,"37E6_10","37E6",2217.9600695377,28,284.678507364336,"Other",3,"Coarse-grained sediment",54.16,-3.4033
"16","1988_10_144",1988,"10",144,"Arnoglossus laterna","Bothidae","Sediment sifter",18,"2/10/1988",276,1208,"37E6_10","37E6",117.555629272833,8,69.4674467237301,"Flatfish",3,"Coarse-grained sediment",54.16,-3.4033
"17","1988_10_144",1988,"10",144,"Buglossidium luteum","Soleidae","Lateral excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",1295.70440891013,44,397.141298273432,"Flatfish",3,"Coarse-grained sediment",54.16,-3.4033
"18","1988_10_144",1988,"10",144,"Callionymus lyra","Callionymidae","Vertical excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",5330.01201259346,64,1201.47617932773,"Small benthic",3,"Coarse-grained sediment",54.16,-3.4033
"19","1988_10_144",1988,"10",144,"Eutrigla gurnardus","Triglidae","Sediment sifter",18,"2/10/1988",276,1208,"37E6_10","37E6",37.551011869894,4,22.0324764445768,"Other",3,"Coarse-grained sediment",54.16,-3.4033
"20","1988_10_144",1988,"10",144,"Limanda limanda","Pleuronectidae","Lateral excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",5076.39579638806,76,4295.82105237583,"Flatfish",3,"Coarse-grained sediment",54.16,-3.4033
"21","1988_10_144",1988,"10",144,"Merlangius merlangus","Gadidae","Vertical excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",1048.99342210354,16,570.918625104223,"Gadoids",3,"Coarse-grained sediment",54.16,-3.4033
"22","1988_10_144",1988,"10",144,"Pleuronectes platessa","Pleuronectidae","Lateral excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",12717.3741710523,84,22893.0553106641,"Flatfish",3,"Coarse-grained sediment",54.16,-3.4033
"23","1988_10_144",1988,"10",144,"Solea solea","Soleidae","Lateral excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",4065.45250031747,28,6201.25176322441,"Flatfish",3,"Coarse-grained sediment",54.16,-3.4033
"24","1988_10_144",1988,"10",144,"Trisopterus luscus","Gadidae","Vertical excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",2090.62320945901,28,748.488440773532,"Gadoids",3,"Coarse-grained sediment",54.16,-3.4033
"25","1988_10_144",1988,"10",144,"Trisopterus minutus","Gadidae","Vertical excavator",18,"2/10/1988",276,1208,"37E6_10","37E6",139.763577204229,4,19.0760327274634,"Gadoids",3,"Coarse-grained sediment",54.16,-3.4033
"26","1988_11_152",1988,"11",152,"Arnoglossus laterna","Bothidae","Sediment sifter",22,"2/10/1988",276,1734,"37E6_11","37E6",134.676628448104,4,181.377942501488,"Flatfish",13,"muddy Sand",54.0717,-3.3817
"27","1988_11_152",1988,"11",152,"Buglossidium luteum","Soleidae","Lateral excavator",22,"2/10/1988",276,1734,"37E6_11","37E6",640.063551783546,24,182.542051237285,"Flatfish",13,"muddy Sand",54.0717,-3.3817
"28","1988_11_152",1988,"11",152,"Callionymus lyra","Callionymidae","Vertical excavator",22,"2/10/1988",276,1734,"37E6_11","37E6",3395.92532615762,44,715.438349952337,"Small benthic",13,"muddy Sand",54.0717,-3.3817
"29","1988_11_152",1988,"11",152,"Echiichthys vipera","Trachinidae","Lateral excavator",22,"2/10/1988",276,1734,"37E6_11","37E6",148.877141094991,4,55.4110078515448,"Other",13,"muddy Sand",54.0717,-3.3817
"30","1988_11_152",1988,"11",152,"Eutrigla gurnardus","Triglidae","Sediment sifter",22,"2/10/1988",276,1734,"37E6_11","37E6",380.399639025034,32,285.683830926606,"Other",13,"muddy Sand",54.0717,-3.3817
"31","1988_11_152",1988,"11",152,"Limanda limanda","Pleuronectidae","Lateral excavator",22,"2/10/1988",276,1734,"37E6_11","37E6",1058.42489375184,16,938.454420077177,"Flatfish",13,"muddy Sand",54.0717,-3.3817
"32","1988_11_152",1988,"11",152,"Merlangius merlangus","Gadidae","Vertical excavator",22,"2/10/1988",276,1734,"37E6_11","37E6",153.227077358519,4,40.7613493677668,"Gadoids",13,"muddy Sand",54.0717,-3.3817
