RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea,DateofCalculation
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,1,71,1988,9,29,0628,-9,15,D,54.7917,-4.8083,54.79,-4.795,38E5,14,V,-9,1,1,R,-9,FM,0,841,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,117,1.8,-9,-9,-9,-9,-9,310,15,300,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,10,144,1988,10,2,1208,-9,15,D,54.175,-3.4033,54.16,-3.4033,37E6,18,V,-9,1,1,R,-9,FM,0,1668,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,183,3.6,-9,-9,-9,-9,-9,155,16,190,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,102,277,1988,10,10,0929,-9,15,D,51.665,-4.4833,51.6517,-4.47,32E5,16,V,-9,1,1,R,-9,FM,0,1797,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,140,3.9,-9,-9,-9,-9,-9,280,4,290,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,103,279,1988,10,10,1008,-9,15,D,51.63,-4.415,51.6167,-4.4067,32E5,16,V,-9,1,1,R,-9,FM,0,1676,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,150,3.6,-9,-9,-9,-9,-9,280,6,290,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,104,281,1988,10,10,1044,-9,15,D,51.5833,-4.3783,51.5733,-4.3633,32E5,15,V,-9,1,1,R,-9,FM,0,1520,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,145,3.3,-9,-9,-9,-9,-9,280,6,290,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,105,291,1988,10,10,1516,-9,15,D,51.5433,-3.93,51.545,-3.91,32E6,23,V,-9,1,1,R,-9,FM,0,1401,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,90,3,-9,-9,-9,-9,-9,155,5,250,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,G3,260,1988,10,8,1920,-9,15,D,53.935,-5.8317,53.9467,-5.8217,36E4,49,V,-9,1,1,R,-9,FM,0,1387,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,15,3,-9,-9,-9,-9,-9,220,40,210,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,G4,264,1988,10,9,0855,-9,15,D,53.45,-5.8517,53.4383,-5.8433,35E4,43,V,-9,1,1,R,-9,FM,0,1436,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,160,3.1,-9,-9,-9,-9,-9,250,16,250,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,G6,252,1988,10,8,1211,-9,9,D,54.0967,-5.5117,54.11,-5.5,37E4,66,V,-9,1,1,R,-9,FM,0,1714,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,40,6.2,-9,-9,-9,-9,-9,185,24,200,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
HH,BTS,3,GB,74RY,BT4AI,-9,-9,-9,G7,254,1988,10,8,1406,-9,15,D,53.9983,-5.6367,54.01,-5.6283,36E4,64,V,-9,1,1,R,-9,FM,0,1433,-9,30,-9,-9,-9,-9,-9,-9,-9,-9,15,3.1,-9,-9,-9,-9,-9,190,35,195,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,20240606
