Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1904,IV,BLL,Brill,Scophthalmus rhombus,29
BEL,1904,IV,DAB,Common dab,Limanda limanda,213
BEL,1904,IV,FIN,Finfishes nei,Osteichthyes,410
BEL,1904,IV,FLE,European flounder,Platichthys flesus,7
BEL,1904,IV,HAL,Atlantic halibut,Hippoglossus hippoglossus,1
BEL,1904,IV,LEM,Lemon sole,Microstomus kitt,14
BEL,1904,IV,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides, 
BEL,1904,IV,PLE,European plaice,Pleuronectes platessa,1586
BEL,1904,IV,SOL,Common sole,Solea solea,302
BEL,1904,IV,TUR,Turbot,Psetta maxima,93
BEL,1904,VIa,BLL,Brill,Scophthalmus rhombus,2
BEL,1904,VIa,DAB,Common dab,Limanda limanda,4
BEL,1904,VIa,FIN,Finfishes nei,Osteichthyes, 
BEL,1904,VIa,FLE,European flounder,Platichthys flesus, 
BEL,1904,VIa,HAL,Atlantic halibut,Hippoglossus hippoglossus, 
BEL,1904,VIa,LEM,Lemon sole,Microstomus kitt, 
BEL,1904,VIa,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,24
BEL,1904,VIa,PLE,European plaice,Pleuronectes platessa,3
BEL,1904,VIa,SOL,Common sole,Solea solea,3
BEL,1904,VIa,TUR,Turbot,Psetta maxima,5
BEL,1904,"VIId,e",BLL,Brill,Scophthalmus rhombus,5
BEL,1904,"VIId,e",DAB,Common dab,Limanda limanda,7
BEL,1904,"VIId,e",FIN,Finfishes nei,Osteichthyes,
BEL,1904,"VIId,e",FLE,European flounder,Platichthys flesus,5
BEL,1904,"VIId,e",HAL,Atlantic halibut,Hippoglossus hippoglossus,
BEL,1904,"VIId,e",LEM,Lemon sole,Microstomus kitt,3
BEL,1904,"VIId,e",PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,1
BEL,1904,"VIId,e",PLE,European plaice,Pleuronectes platessa,13
BEL,1904,"VIId,e",SOL,Common sole,Solea solea,4
BEL,1904,"VIId,e",TUR,Turbot,Psetta maxima,8
BEL,1904,VIIg-k,BLL,Brill,Scophthalmus rhombus,2
BEL,1904,VIIg-k,DAB,Common dab,Limanda limanda,4
BEL,1904,VIIg-k,FIN,Finfishes nei,Osteichthyes,
BEL,1904,VIIg-k,FLE,European flounder,Platichthys flesus,
BEL,1904,VIIg-k,HAL,Atlantic halibut,Hippoglossus hippoglossus,
BEL,1904,VIIg-k,LEM,Lemon sole,Microstomus kitt,
BEL,1904,VIIg-k,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,7
BEL,1904,VIIg-k,PLE,European plaice,Pleuronectes platessa,7
BEL,1904,VIIg-k,SOL,Common sole,Solea solea,2
BEL,1904,VIIg-k,TUR,Turbot,Psetta maxima,3
BEL,1905,IV,BLL,Brill,Scophthalmus rhombus,44
BEL,1905,IV,COD,Atlantic cod,Gadus morhua,299
BEL,1905,IV,COE,European conger,Conger conger,4
BEL,1905,IV,DAB,Common dab,Limanda limanda,180
BEL,1905,IV,DGZ,Dogfishes nei,Squalus spp,0
BEL,1905,IV,FIN,Finfishes nei,Osteichthyes,208
BEL,1905,IV,FLE,European flounder,Platichthys flesus,2
BEL,1905,IV,GUX,"Gurnards, searobins nei",Triglidae,183
BEL,1905,IV,HAD,Haddock,Melanogrammus aeglefinus,1507
BEL,1905,IV,HAL,Atlantic halibut,Hippoglossus hippoglossus,0
BEL,1905,IV,HKE,European hake,Merluccius merluccius,3
BEL,1905,IV,HOM,Atlantic horse mackerel,Trachurus trachurus,14
BEL,1905,IV,JOD,John dory,Zeus faber,0
BEL,1905,IV,LEM,Lemon sole,Microstomus kitt,8
BEL,1905,IV,LIN,Ling,Molva molva,10
BEL,1905,IV,MAC,Atlantic mackerel,Scomber scombrus,10
BEL,1905,IV,MUR,Surmullet,Mullus surmuletus,1
BEL,1905,IV,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,2
BEL,1905,IV,PLE,European plaice,Pleuronectes platessa,1640
BEL,1905,IV,POK,Saithe(=Pollock),Pollachius virens,10
BEL,1905,IV,POL,Pollack,Pollachius pollachius,
BEL,1905,IV,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,406
BEL,1905,IV,SOL,Common sole,Solea solea,336
BEL,1905,IV,SPR,European sprat,Sprattus sprattus,3000
BEL,1905,IV,TUR,Turbot,Psetta maxima,75
BEL,1905,IV,WHG,Whiting,Merlangius merlangus,349
BEL,1905,Va,BLL,Brill,Scophthalmus rhombus,P
BEL,1905,Va,COD,Atlantic cod,Gadus morhua,484
BEL,1905,Va,COE,European conger,Conger conger,
BEL,1905,Va,DAB,Common dab,Limanda limanda,29
BEL,1905,Va,DGZ,Dogfishes nei,Squalus spp,
BEL,1905,Va,FIN,Finfishes nei,Osteichthyes,
BEL,1905,Va,FLE,European flounder,Platichthys flesus,
BEL,1905,Va,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1905,Va,HAD,Haddock,Melanogrammus aeglefinus,365
BEL,1905,Va,HAL,Atlantic halibut,Hippoglossus hippoglossus,12
BEL,1905,Va,HKE,European hake,Merluccius merluccius,
BEL,1905,Va,HOM,Atlantic horse mackerel,Trachurus trachurus,
BEL,1905,Va,JOD,John dory,Zeus faber,
BEL,1905,Va,LEM,Lemon sole,Microstomus kitt,11
BEL,1905,Va,LIN,Ling,Molva molva,51
BEL,1905,Va,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1905,Va,MUR,Surmullet,Mullus surmuletus,
BEL,1905,Va,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,21
BEL,1905,Va,PLE,European plaice,Pleuronectes platessa,44
BEL,1905,Va,POK,Saithe(=Pollock),Pollachius virens,123
BEL,1905,Va,POL,Pollack,Pollachius pollachius,
BEL,1905,Va,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,1
BEL,1905,Va,SOL,Common sole,Solea solea,
BEL,1905,Va,SPR,European sprat,Sprattus sprattus,
BEL,1905,Va,TUR,Turbot,Psetta maxima,P
BEL,1905,Va,WHG,Whiting,Merlangius merlangus,41
BEL,1905,Vb,BLL,Brill,Scophthalmus rhombus,
BEL,1905,Vb,COD,Atlantic cod,Gadus morhua,23
BEL,1905,Vb,COE,European conger,Conger conger,
BEL,1905,Vb,DAB,Common dab,Limanda limanda,P
