Species,Area,Units,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
AAC,27,TLW,PT,0 c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC,27.9,TLW,PT,0 c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC,27.9.a,TLW,PT,0 c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAS,27,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0,0,0.23,0,0,0,0,0,0,0
AAS,27.3,TLW,DK,0 ,0 ,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0
AAS,27.4,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
AAS,27.3.c.22,TLW,DK,0 ,0 ,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0
AAS,27.4.b,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
ABK,27,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0
ABK,27.4,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0
ABK,27.4.b,TLW,DK,0 ,0 ,0,0,0,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0
ABK,27,TLW,EE,42.8565 ,22.2399 ,27.2017,35.248,34.959,36.706,31.96,29.26,29.77,30.44,0,0,0,0,0,0,0,0
ABK,27.3,TLW,EE,42.8565 ,22.2399 ,27.2017,35.248,34.959,36.706,31.96,29.26,29.77,30.44,0,0,0,0,0,0,0,0
ABK,27.3.d,TLW,EE,42.8565 ,22.2399 ,27.2017,35.248,34.959,36.706,31.96,29.26,29.77,30.44,0,0,0,0,0,0,0,0
ABK,27.3.d.28,TLW,EE,7.7002 ,7.761 ,4.0249,5.38,4.163,10.225,4.29,9.82,5.75,7.23,0,0,0,0,0,0,0,0
ABK,27.3.d.28.1,TLW,EE,7.4392 ,7.761 ,4.0249,5.1,4.13,10.222,4.28,9.73,5.75,7.23,0,0,0,0,0,0,0,0
