"","Order","Suborder","Incertae.sedis","Family","Species","Common.name","Horizontal.habitat","Vertical.habitat","Trophic.guild","Trophic.level","Lmax.male","Lcom.m","a","b","weight.g","weight.kg","log10.size.class","size.category","size.category.score","Fishing.vulnerability.index","fishing.vulnerability","IUCN.status","Bioturbation.mode","bioturbation.mode.score","bioturbation.x.size.score","Description","bioturbation.frequency","frequency.score","bioturbation.score","commercial","bioturbation.mode","body.shape"
"1","Eupercaria","","*","Labridae","Acantholabrus palloni","Scale-rayed wrasse","Coastal","Reef-associated","Benthivore",3.5,25,22,0.00977,3.07,191.2363255,0.191236325,"100-1000","medium",3,15,"low","least concern","Nest-builder",3,9,"Males build dish shaped nests and guard the eggs","occasionally",3,27,"commercial","3","fusiform"
"2","Perciformes","Cottoidei","","Agonidae","Agonus cataphractus","Hooknose","Inner shelf","Demersal","Benthivore",3.4,21,14,0.01023,2.99,91.89911413,0.091899114,"10-100","small",2,26,"low to moderate","least concern","Burrower",5,10," Feeds on bottom crustaceans and polychaetes. spend most of their lives partly buried in sand, mud and gravel","very frequently",5,50,"of no interest","5","elongated"
"3","Rajiformes","","","Rajidae","Amblyraja radiata","Starry ray","Shelf","Demersal","Piscivore",4,105,29.5,0.00316,3.25,11709.87623,11.70987623,">10,000","very large",5,51,"moderate to high","vulnerable","Lateral excavator",2,10,"Feed mainly on fish, crustaceans and polychaete worms, but also on hydroids, molluscs, cephalopods and echinoderms; known to be a scavenger.","very frequently",5,50,"minor commercial","2","flat"
"4","Perciformes","Uranoscopoidei","","Ammodytidae","Ammodytes marinus","Launce","Inner shelf","Benthopelagic","Planktivore",2.7,25,9.75,0.00275,3.14,67.43173298,0.067431733,"10-100","small",2,30,"low to moderate","not evaluated","Burrower",5,10,"During low light intensity (night and winter) they bury in the bottom","frequently",4,40,"commercial","5","elongated"
"5","Perciformes","Uranoscopoidei","","Ammodytidae","Ammodytes tobianus","Lesser sandeel","Inner shelf","Benthopelagic","Planktivore",3.2,20,11.45,0.00229,3.07,22.59423123,0.022594231,"10-100","small",2,23,"low","data deficient","Burrower",5,10,"Alternate between lying buried in the sandy substrate and swimming in schools in the water mass. They hibernate in winter buried in sand at depths of 20-50 cm","frequently",4,40,"highly commercial","5","elongated"
"6","Perciformes","Zoarcoidei","","Anarhichadidae","Anarhichas denticulatus","Northern wolffish","Shelf","Benthopelagic","Plankto-piscivore",3.8,180,90,0.00631,3.2,103968.4036,103.9684036,">10,000","very large",5,78,"very high","not evaluated","Vertical excavator",4,20,"Feeds on sea gooseberries, medusas, small fishes, also echinoderms, crustaceans and mollusks (not so hard-shelled) (FishBase), benthic invertebrates with soft skeleton: sea urchins and brittle stars (Nedreaas, 2020)","occasionally",3,60,"of no interest","4","elongated"
"7","Perciformes","Zoarcoidei","","Anarhichadidae","Anarhichas lupus","Atlantic wolffish","Shelf","Demersal","Benthivore",3.2,150,58.5,0.00398,3.19,34802.80022,34.80280022,">10,000","very large",5,69,"high to very high","not evaluated","Vertical excavator",4,20,"Feeds on fishes, hard-shelled mollusks, crabs, lobsters, sea urchins and other echinoderms (FishBase); also mussels, whelks, and scallops (Wheeler, 1978)","frequently",4,80,"highly commercial","4","elongated"
"8","Perciformes","Zoarcoidei","","Anarhichadidae","Anarhichas minor","Spotted wolffish","Shelf","Demersal","Benthivore",3.5,180,120,0.00339,3.19,53029.67793,53.02967793,">10,000","very large",5,80,"very high","not evaluated","Vertical excavator",4,20,"Feeds mainly on echinoderms, but also crustaceans, mollusks, fishes and worms","frequently",4,80,"minor commercial","4","elongated"
"9","Anguilliformes","","","Anguillidae","Anguilla anguilla","European eel","Coastal","Demersal","Benthopiscivore",3.5,122,35,0.00095,3.17,3903.770416,3.903770416,"1,000-10,000","large",4,68,"high to very high","critically endangered","Burrower",5,20,"burrow in sediment","very frequently",5,100,"commercial","5","eel-like"
"10","Argentiniformes","","","Argentinidae","Argentina sphyraena","Lesser silver smelt","Shelf","Benthopelagic","Planktivore",3.6,35,20,0.00363,3.18,295.1501485,0.295150149,"100-1000","medium",3,36,"moderate","not evaluated","Vertical excavator",4,12,"Feeds on bottom-living polychaetes, mollusks and crustaceans, also on pelagic invertebrates and fishes.","frequently",4,48,"minor commercial","4","fusiform"
"11","Pleuronectiformes","","","Bothidae","Arnoglossus imperialis","Imperial scaldfish","Outer shelf","Demersal","Benthivore",3.8,25,12,0.00603,3.1,129.996404,0.129996404,"100-1000","medium",3,15,"low","least concern","Sediment sifter",1,3,"Found on sand, mud, shell and corals","very frequently",5,15,"commercial","1","flat"
"12","Pleuronectiformes","","","Bothidae","Arnoglossus laterna","Scaldfish","Inner shelf","Demersal","Benthivore",3.7,25,12,0.00617,3.08,124.7212316,0.124721232,"100-1000","medium",3,36,"moderate","least concern","Sediment sifter",1,3,"Live on mixed or muddy bottoms. Feed on small fishes and invertebrates","very frequently",5,15,"of no interest","1","flat"
"13","Pleuronectiformes","","","Bothidae","Arnoglossus thori","Thor's scaldfish","","Demersal","",3.3,18,12,0.00724,3.07,51.69221677,0.051692217,"10-100","small",2,24,"low","data deficient","Sediment sifter",1,2,"Found on the upper 100 m of the continental shelf. Feeds on small fishes and invertebrates","very frequently",5,10,"minor commercial","1","flat"
"14","Perciformes","Cottoidei","","Cottidae","Artediellus atlanticus","Atlantic hookear sculpin","Shelf","Demersal","Benthivore",3.4,15,10.5,0.00676,3.17,36.15396949,0.036153969,"10-100","small",2,10,"low","not evaluated","Vertical excavator",4,8,"Feed on polychaetes, small mollusks and very rarely small crustaceans","very frequently",5,40,NA,"4","fusiform"
"15","Tetraodontiformes","","","Balistidae","Balistes capriscus","Grey triggerfish","Shelf","Reef-associated","Benthivore",3.5,66,44,0.02089,2.9,3950.170606,3.950170606,"1,000-10,000","large",4,46,"moderate to high","vulnerable","Nest-builder",3,12,"Feeds on benthic invertebrates like mollusks and crustaceans. Adults guard the embryos nested in sand which hatched in about two days.","occasionally",3,36,"commercial","3","compressiform"
"16","Rajiformes","","","Arhynchobatidae","Bathyraja spinicauda","Spinytail skate","","Bathypelagic","",4.4,170,85,0.00513,3.12,46678.6191,46.6786191,">10,000","very large",5,90,"very high","near threatened","Lateral excavator",2,10,"Benthic (Ref. 58426). Feed on all kinds of bottom animals ","frequently",4,40,"of no interest","2","flat"
"17","Blenniiformes","","","Blenniidae","Blennius ocellaris","Butterfly blenny","","Demersal","",3.5,20,10,0.00832,3.01,68.58412673,0.068584127,"10-100","small",2,10,"low","least concern","Sediment sifter",1,2,"Mainly nocturnal, they feed on small invertebrates.","frequently",4,8,"minor commercial","1","elongated"
"18","Gadiformes","","","Lotidae","Brosme brosme","Tusk","Outer shelf","Demersal","Benthivore",4,120,50,0.0055,3.09,14622.87406,14.62287406,">10,000","very large",5,58,"high","not evaluated","Vertical excavator",4,20,"Feeds on crustaceans and shellfishes, benthic fishes (flatfishes and gurnard) and even on starfishes.","frequently",4,80,"highly commercial","4","elongated"
"19","Pleuronectiformes","","","Soleidae","Buglossidium luteum","Solenette","Inner shelf","Demersal","Benthivore",3.3,20,8,0.00851,3.05,79.08079868,0.079080799,"10-100","small",2,24,"low","least concern","Lateral excavator",2,4,"Feeds on a wide range of bottom-living organisms, mainly crustaceans (copepods, amphipods, cumaceans), bivalve mollusks, and polychaetes.","very frequently",5,20,"minor commercial","2","flat"
"20","Callionymiformes","","","Callionymidae","Callionymus lyra","Dragonet","Shelf","Demersal","Benthivore",3.3,30.5,15,0.01096,2.76,136.9235375,0.136923537,"100-1000","medium",3,29,"low to moderate","least concern","Vertical excavator",4,12,"Feeds on small invertebrates, mainly worms and crustaceans.","very frequently",5,60,"minor commercial","4","elongated"
"21","Callionymiformes","","","Callionymidae","Callionymus maculatus","Spotted dragonet","Shelf","Demersal","Benthivore",3.3,17,8.5,0.00955,2.75,23.10669891,0.023106699,"10-100","small",2,10,"low","least concern","Vertical excavator",4,8,"Feeds on small bottom invertebrates mainly worms, snails and crustaceans.","very frequently",5,40,"subsistence fisheries","4","elongated"
"22","Callionymiformes","","","Callionymidae","Callionymus reticulatus","Reticulated dragonet","","Demersal","",3.3,18.5,9.25,0.00832,2.66,19.53440213,0.019534402,"10-100","small",2,10,"low","least concern","Sediment sifter",1,2,"Rests on the seabed","very frequently",5,10,"of no interest","1","elongated"
"23","Acanthuriformes","","","Caproidae","Capros aper","Boarfish","Slope","Bathydemersal","Planktivore",3.1,30,13,0.01905,2.81,269.5291277,0.269529128,"100-1000","medium",3,19,"low","least concern","Vertical excavator",4,12,"Feed on crustaceans or worms, mollusks","occasionally",3,36,"of no interest","4","compressiform"
"24","Perciformes","Cottoidei","","Liparidae","Careproctus reinhardti","Sea tadpole","","Demersal","",3.8,30,15,0.00447,3.17,215.1700895,0.21517009,"100-1000","medium",3,20,"low","not evaluated","Sediment sifter",1,3,"Feeds on benthic and pelagic crustaceans","occasionally",3,9,"of no interest","1","fusiform"
"25","Eupercaria","","*","Labridae","Centrolabrus exoletus","Rock cook","Coastal","Reef-associated","Benthivore",3.5,18,12,0.00741,3.09,56.05446976,0.05605447,"10-100","small",2,20,"low","least concern","Nest-builder",3,6,"Eggs are laid in the summer in a seaweed nest; Males build dish shaped nests and guard the eggs","rarely",2,12,"of no interest","3","fusiform"
"26","Eupercaria","","*","Cepolidae","Cepola macrophthalma","Red bandfish","Shelf","Demersal","Benthivore",3.1,80,40,0.0038,2.42,153.2009171,0.153200917,"100-1000","medium",3,55,"moderate to high","least concern","Burrower",5,15,"Lives in vertical burrows, terminating in an expanded chamber","very frequently",5,75,"minor commercial","5","elongated"
"27","Perciformes","Scorpaenoidei","","Triglidae","Chelidonichthys cuculus","Red gurnard","Shelf","Demersal","Benthivore",3.8,70,27.6,0.00794,3.05,3367.98016,3.36798016,"1,000-10,000","large",4,46,"moderate to high","least concern","Sediment sifter",1,4,"Feeds on benthic crustaceans, other invertebrates and bottom-dwelling fishes","frequently",4,16,"minor commercial","1","fusiform"
"28","Perciformes","Scorpaenoidei","","Triglidae","Chelidonichthys lastoviza","Streaked gurnard","Shelf","Demersal","Benthivore",3.4,40,15,0.00871,3.03,622.6728484,0.622672848,"100-1000","medium",3,6,"low","least concern","Sediment sifter",1,3,"Feeds on crustaceans","occasionally",3,9,"commercial","1","fusiform"
"29","Perciformes","Scorpaenoidei","","Triglidae","Chelidonichthys lucerna","Tub gurnard","Shelf","Demersal","Benthivore",3.7,82.8,30,0.00776,3.03,5029.139029,5.029139029,"1,000-10,000","large",4,55,"moderate to high","least concern","Sediment sifter",1,4," Feeds on fish, crustaceans and mollusks. Has three isolated rays on the pectoral fin which function as legs on which the fish rests and also help in locating food on the soft bottom","very frequently",5,20,"commercial","1","elongated"
"30","Perciformes","Scorpaenoidei","","Triglidae","Chelidonichthys obscurus","Longfin gurnard","","Demersal","",3.7,50.5,25.25,0.00646,3.08,1138.59681,1.13859681,"1,000-10,000","large",4,40,"moderate","least concern","Sediment sifter",1,4,"Food items include benthic crustaceans, worms, molluscs","frequently",4,16,"commercial","1","elongated"
"31","Mugiliformes","","","Mugilidae","Chelon labrosus","Thicklip grey mullet","","Demersal","",2.6,75,32,0.00724,3.11,4911.103596,4.911103596,"1,000-10,000","large",4,63,"high","least concern","Sediment sifter",1,4,"Adults feed mainly on benthic diatoms, epiphytic algae, small invertebrates and detritus","frequently",4,16,"commercial","1","elongated"
"32","Chimaeriformes","","","Chimaeridae","Chimaera monstrosa","Rabbit fish","","Bathydemersal","",3.5,150,22,0.00135,3.05,5853.452637,5.853452637,"1,000-10,000","large",4,68,"high to very high","vulnerable","Sediment sifter",1,4,"Feeds mainly on bottom-living invertebrates.","frequently",4,16,"minor commercial","1","elongated"
