FAO_code,Latin species name,English,Spanish,French
AAA,Acipenser naccarii,Adriatic sturgeon,Esturión del Adriático,Esturgeon de l'Adriatique
AAB,Acanthopagrus bifasciatus,Twobar seabream,Sargo de dos bandas,Pagre double bande
AAC,Amia calva,Bowfin,,
AAD,Acipenser dabryanus,Yangtze sturgeon,,
AAE,Antennarius analis,Tailjet frogfish,,
AAF,Acipenser fulvescens,Lake sturgeon,,
AAG,Anguilla bengalensis,Indian mottled eel,,
AAH,Acipenser schrenckii,Amur sturgeon,,
AAI,Acipenser sinensis,Chinese sturgeon,,
AAJ,Anguilla mossambica,African longfin eel,,
AAK,Acipenser mikadoi,Sakhalin sturgeon,,
AAL,Anguilla marmorata,Giant mottled eel,,
AAM,Acipenser medirostris,Green sturgeon,Esturión verde,Esturgeon vert
AAN,Acipenser nudiventris,Fringebarbel sturgeon,Esturión barba de flecos,Esturgeon barbillons frangés
AAO,Acipenser oxyrinchus,Atlantic sturgeon,,
AAP,Acipenser persicus,Persian sturgeon,,
AAQ,Anguilla dieffenbachii,New Zealand longfin eel,,
AAR,Anguilla reinhardtii,Speckled longfin eel,,
AAS,Astacus astacus,Noble crayfish,Cangrejo de río de patas rojas,Écrevisse à pieds rouges
AAT,Anguilla bicolor,,,
AAU,Acipenser multiscutatus,Japanese sturgeon,,
AAV,Acaronia vultuosa,,,
AAW,Anableps anableps,Largescale foureyes,,
AAX,Aaptosyax grypus,,,
AAY,Acipenser brevirostrum,Shortnose sturgeon,,
AAZ,Aploactis aspera,,,
ABA,Albulichthys albuloides,,,
ABB,Abbottina rivularis,Chinese false gudgeon,,
ABC,Amblypharyngodon microlepis,,,
ABD,Alburnus albidus,,,
ABE,Aborichthys elongatus,,,
ABF,Haliotis rufescens,Red abalone,Abulón colorado,Ormeau rouge
ABG,Haliotis gigantea,Giant abalone,Abulón gigante,Ormeau géant
ABH,Astroblepus chotae,,,
ABI,Alburnoides bipunctatus,Schneider,,
ABJ,Haliotis discus,Japanese abalone,Abulón japonés,Ormeau japonais
ABK,Blicca bjoerkna,White bream,,
ABL,Amblypharyngodon melettinus,Attentive carplet,,
ABM,Haliotis diversicolor,Small abalone,,
ABN,Acanthobunocephalus nicoi,,,
ABO,Amblypharyngodon mola,,,
ABP,Haliotis midae,Perlemoen abalone,Oreja de mar,Ormeau de Mida
ABQ,Abramites eques,,,
ABR,Haliotis rubra,Blacklip abalone,Oreja de mar de labios negros,Ormeau à lèvres noires
ABS,Penaeus aztecus,Northern brown shrimp,Camarón café norteño,Crevette royale grise
ABT,Amblyrhynchichthys truncatus,,,
ABU,Abudefduf saxatilis,Sergeant-major,,
ABV,Alabes parvulus,Pygmy shore-eel,,
ABW,Ablabys binotatus,Redskinfish,,
ABX,Haliotis spp,Abalones nei,Orejas de mar nep,Ormeaux nca
ABY,Amblyopsis rosae,Ozark cavefish,,
ABZ,Ammodytes tobianus,Small sandeel,Aguacioso,Équille
ACA,Acromycter nezumi,,,
ACB,Scapharca broughtonii,Inflated ark,,
ACC,Gymnocephalus cernuus,Ruffe,Acerina,Grémille
ACD,Chlopsis dentatus,Mottled false moray,,
ACE,Paruroconger drachi,,,
ACF,Acestrorhynchus falcatus,,,
ACG,Acanthogobius ommaturus,,,
ACH,Salvelinus alpinus,Arctic char,Trucha alpina,Omble-chevalier
ACI,Acnodon normani,,,
ACJ,Japonoconger africanus,,,
ACK,Kaupichthys hyoproroides,False moray,,
ACL,Heteroconger longissimus,,,
ACM,Macrocephenchelys brachialis,,,
ACN,Aculeola nigra,Hooktooth dogfish,Tollo negro de cachos,Squale noir
ACO,Coloconger raniceps,,,
ACP,Chilorhinus platyrhynchus,Flatnose xenocongrid eel,,
ACQ,Astrocottus leprops,,,
ACR,Acropomatidae,"Glow-bellies, splitfins nei",Farolitos nep,"Macondes, etc. nca"
ACS,Heteroconger hassi,Spotted garden-eel,,
ACT,Paraconger caudilimbatus,Margintail conger,,
ACU,Lumiconger arafura,,,
ACV,Acanthocepola abbreviata,Bandfish,,
ACW,Amblycirrhitus earnshawi,,,
ACX,Acanthaxius caespitosa,Deep-water mud lobster,Langosta peluda de profundidad,Langouste poilue de profondeur
ACY,Parabathymyrus macrophthalmus,,,
ACZ,Cambaridae,American crayfishes nei,Cangrejos río americanos nep,Écrevisses américaines nca
ADA,Aspidoras albater,,,
ADB,Adontosternarchus balaenops,,,
ADC,Acrochordonichthys chamaeleon,,,
ADD,Derichthys serpentinus,Narrownecked oceanic eel,,
ADE,Allotoca dugesii,Opal allotoca,,
ADF,Aspredinichthys filamentosus,Sevenbarbed banjo,,
ADG,Anadoras grypus,,,
ADH,Amblyglyphidodon aureus,Golden damselfish,,
ADI,Aplocheilus dayi,Ceylon killifish,,
ADJ,Pardachirus pavoninus,Peacock sole,,
ADK,Artedidraco skottsbergi,,,
ADL,Antipodocottus elegans,,,
ADM,Autanadoras milesi,,,
ADN,Nessorhamphus ingolfianus,Duckbill oceanic eel,,
ADO,Artediellus dydymovi,,,
ADP,Austrofundulus dolichopterus,Saberfin killie,,
ADQ,Antipathes dichotoma,Black coral,,
ADR,Aspredo aspredo,Banjo,,
ADS,Arnoldichthys spilopterus,Niger tetra,,
ADT,Pardachirus marmoratus,Finless sole,,
ADU,Allodontichthys hubbsi,Whitepatched splitfin,,
ADV,Apuredoras rivasi,,,
ADW,Artedius corallinus,Coralline sculpin,,
ADX,Adinia xenica,Diamond killifish,,
ADY,Aspredo cotylephorus,Banded banjo,,
ADZ,Artedidraco glareobarbatus,,,
AEA,Alestes lateralis,Stripped robber,,
AEB,Alestes baremoze,,,
AEC,Astronesthes cyclophotus,,,
AED,Alestes dentex,,,
AEE,Einara edentula,Toothless smooth-head,,
AEF,Apteronotus albifrons,Black ghost,,
AEG,Astronesthes gemmifer,,,
AEH,Alestopetersius brichardi,,,
AEI,Auchenipterus nigripinnis,,,
AEJ,Astronesthes indicus,,,
AEK,Herwigia kreffti,Krefft's smooth-head,,
AEL,Leptoderma lubricum,,,
AEM,Aethotaxis mitopteryx,Longfin icedevil,Diablillo de hebra,Calandre fil
AEN,Ericara niger,,,
AEO,Astronesthes leucopogon,,,
AEP,Astronesthes neopogon,,,
AER,Aequidens rivulatus,Green terror,Vieja azul,
AES,Pandalus montagui,Aesop shrimp,Camarón esópico,Crevette ésope
AET,Aetapcus maculatus,Warty prowfish,,
AEU,Auchenoceros punctatus,Ahuru,,
AEV,Asemichthys taylori,Spinynose sculpin,,
AEW,Atherinosoma wallacei,,,
AEX,Aethiomastacembelus sexdecimspinus,,,
AEY,Apteronotus leptorhynchus,,,
AEZ,Abyssocottus elochini,,,
AFA,Forbesichthys agassizi,Spring cavefish,,
AFB,Aphyoplatys duboisi,,,
AFC,Atherinopsis californiensis,Jack silverside,,
AFD,Aphanius dispar,,,
AFE,Aplocheilichthys fuelleborni,,,
AFF,Atherion africanus,Pricklenose silverside,,
AFG,Asthenomacrurus fragilis,Fragile grenadier,,
AFH,Aphyosemion ahli,,,
AFI,Conocara fiolenti,Fiolenti's smooth-head,,
AFJ,Aphanius iberus,Spanish toothcarp,,
AFK,Apsilus fuscus,African forktail snapper,Pargo tijera,Vivaneau fourche d'Afrique
AFL,Antennatus flagellatus,,,
AFM,Adamas formosus,Starhead killi,,
AFN,Antennarius nummifer,Spotfin frogfish,,
AFO,Aspidophoroides bartoni,Aleutian alligatorfish,,
AFP,Amphiprion akallopisos,Skunk clownfish,,
AFQ,Paphies australis,Pipi wedge clam,,
AFR,Alloophorus robustus,Bulldog goodeid,,
AFS,Aphanius fasciatus,,,
AFT,Agonus cataphractus,Hooknose,,
AFU,Alfaro cultratus,,,
AFV,Aulorhynchus flavidus,Tube-snout,,
AFW,Assessor flavissimus,Yellow devilfish,,
AFX,Amphibolis antarctica,Sea nymph,,
AFY,Amphiprion akindynos,Barrier reef anemonefish,,
AFZ,Afronandus sheljuzhkoi,Fourspine leaffish,,
AGA,Guentherus altivela,Jellynose,,
AGB,Antipathes grandis,"Umimatsu, pine coral",,
AGC,Amblygaster clupeoides,Bleeker smoothbelly sardinella,Sardinela vientre liso,Sardinelle coulat
AGD,Gymnothorax maderensis,Sharktooth moray,,
AGE,Agosia chrysogaster,Longfin dace,,
AGF,Agmus lyriformis,Gnarled catfish,,
AGG,Gymnothorax moringa,Spotted moray,,
AGH,Gymnotus pantherinus,,,
AGI,Gymnothorax polygonius,,,
AGJ,Argobuccinum olearium,Oil-vessel triton,,Ranelle geante
AGK,Gymnothorax unicolor,Brown moray,Morena negra,Murène brune
AGL,Amblygaster leiogaster,Smoothbelly sardinella,Sardinela daniva,Sardinelle daniva
AGM,Alligator mississippiensis,American alligator,Caimán americano,Alligator américain
AGN,Squatina squatina,Angelshark,Angelote,Ange de mer commun
AGO,Gymnothorax pseudothyrsoideus,Highfin moray,,
AGP,Agrostichthys parkeri,Streamer fish,,
AGQ,Aulostomus strigosus,,,
AGR,Aplodinotus grunniens,Freshwater drum,Roncador de agua dulce,Malachigan
AGS,Amblygaster sirm,Spotted sardinella,Sardinela manchada,Sardinelle tachetée
AGT,Gymnothorax meleagris,Turkey moray,,
AGU,Gymnothorax rueppelliae,Banded moray,,
AGV,Altolamprologus calvus,,,
AGW,Anoplogaster cornuta,Common fangtooth,,
AGX,Gymnothorax mordax,California moray,,
AGY,Gymnothorax porphyreus,,,
AGZ,Argyrocottus zanderi,,,
AHA,Acanthorhodeus asmussii,Russian bitterling,,
AHB,Atopochilus chabanaudi,,,
AHC,Anchovia macrolepidota,Bigscale anchovy,Anchoa plateada,Anchois à grandes écailles
AHD,Abythites lepidogenys,,,
AHE,Archaulus biseriatus,Scaled sculpin,,
AHF,Aphanotorulus frankei,,,
AHG,Psephurus gladius,Chinese swordfish,,
AHH,Atherina hepsetus,Mediterranean sand smelt,,
AHI,Acanthocleithron chapini,,,
AHJ,Amaralia hypsiurus,,,
AHK,Alertichthys blacki,Alert pigfish,,
AHL,Acanthalburnus microlepis,Blackbrow bleak,,
AHM,Huso dauricus,Kaluga,,
AHN,Anthias anthias,Swallowtail seaperch,,
AHO,Alcichthys alcicornis,,,
AHP,Panturichthys isognathus,,,
AHQ,Cantheschenia grandisquamis,Large-scaled leatherjacket,,
AHR,Astronesthes niger,,,
AHS,Acanthobrama lissneri,,,
AHT,Acanthobrama terraesanctae,Kinneret bleak,,
AHU,Anchovia clupeoides,Zabaleta anchovy,Anchoa bocona,Anchois hachude
AHV,Ancharius brevibarbis,,,
AHW,Aristaeomorpha woodmasoni,Indian red shrimp,Gamba roja india,Gambon indien
AHX,Allocyttus spp,,,
AHY,Pythonichthys sanguineus,,,
AHZ,Apolemichthys guezei,Reunion angelfish,,
AIA,Apistus carinatus,Ocellated waspfish,,
AIB,Ambassidae,Glassfishes,,
AIC,Ailia coila,,,
AID,Ijimaia dofleini,,,
AIE,Alticorpus macrocleithrum,,,
AIF,Acanthoclinus fuscus,,,
AIG,Astacopsis gouldi,Giant tasmanian crayfish,,
AIH,Ancistrus cirrhosus,,,
AII,Amphilophus citrinellus,Midas cichlid,,
AIJ,Alticus kirkii,Kirk's blenny,,
AIK,Acarichthys heckelii,Threadfin acara,,
AIL,Acanthochromis polyacanthus,Spiny chromis,,
AIM,Austrophycis marginata,Dwarf codling,,
AIN,Acentrogobius caninus,Tropical sand goby,,
AIO,Acantholiparis opercularis,Spiny snailfish,,
AIP,Albatrossia pectoralis,Giant grenadier,,
AIQ,Astacopsis franklinii,,,
AIR,Anisarchus macrops,,,
AIS,Atrosalarias fuscus,,,
AIT,Apopterygion alta,Tasselled triplefin,,
AIU,Apistops caloundra,Short-armed waspfish,,
AIV,Alloblennius parvus,Dwarf blenny,,
